url,category,source
http://feeds.abcnews.com/abcnews/usheadlines,News,ABC News
http://feeds.abcnews.com/abcnews/politicsheadlines,Politics,ABC News
http://feeds.abcnews.com/abcnews/moneyheadlines,Business,ABC News
http://feeds.abcnews.com/abcnews/technologyheadlines,Technology,ABC News
http://feeds.abcnews.com/abcnews/healthheadlines,Health,ABC News
http://feeds.abcnews.com/abcnews/entertainmentheadlines,Entertainment,ABC News
http://feeds.abcnews.com/abcnews/travelheadlines,Lifestyle,ABC News
http://rssfeeds.usatoday.com/usatoday-NewsTopStories,News,USA Today
http://rssfeeds.usatoday.com/UsatodaycomWorld-TopStories,News,USA Today
http://rssfeeds.usatoday.com/UsatodaycomSports-TopStories,Sports,USA Today
http://rssfeeds.usatoday.com/usatoday-LifeTopStories,Lifestyle,USA Today
http://rssfeeds.usatoday.com/UsatodaycomMoney-TopStories,Business,USA Today
http://rssfeeds.usatoday.com/usatoday-TechTopStories,Technology,USA Today
http://rssfeeds.usatoday.com/UsatodaycomTravel-TopStories,Lifestyle,USA Today
https://www.pbs.org/newshour/feeds/rss/world,News,PBS News Hour
https://www.pbs.org/newshour/feeds/rss/economy,Business,PBS News Hour
https://www.pbs.org/newshour/feeds/rss/science,Science ,PBS News Hour
https://www.pbs.org/newshour/feeds/rss/health,Health,PBS News Hour
https://www.pbs.org/newshour/feeds/rss/education,Lifestyle,PBS News Hour
https://www.pbs.org/newshour/feeds/rss/politics,Politics,PBS News Hour
https://www.pbs.org/newshour/feeds/rss/nation,News,PBS News Hour
https://www.aljazeera.com/xml/rss/all.xml,News,Al Jazeera
https://www.rt.com/rss/usa/,News,Russia Today
https://www.rt.com/rss/news/,News,Russia Today
https://www.rt.com/rss/business/,Business,Russia Today
https://www.rt.com/rss/sport/,Sports,Russia Today
http://www.france24.com/en/americas/rss,News,France24
http://www.france24.com/en/business-tech/rss,Business,France24
http://www.france24.com/en/culture/rss,Entertainment,France24
http://feeds.skynews.com/feeds/rss/world.xml,News,Sky News
http://feeds.skynews.com/feeds/rss/us.xml,News,Sky News
http://feeds.skynews.com/feeds/rss/business.xml,Business,Sky News
http://feeds.skynews.com/feeds/rss/politics.xml,Politics,Sky News
http://feeds.skynews.com/feeds/rss/technology.xml,Technology,Sky News
http://feeds.skynews.com/feeds/rss/entertainment.xml,Entertainment,Sky News
https://www.huffingtonpost.com/dept/entertainment/feed,Entertainment,Huffington Post
https://www.huffingtonpost.com/section/healthy-living/feed,Health,Huffington Post
https://www.huffingtonpost.com/section/politics/feed,Politics,Huffington Post
https://www.huffingtonpost.com/section/sports/feed,Sports,Huffington Post
https://www.huffingtonpost.com/section/technology/feed,Technology,Huffington Post
https://www.huffingtonpost.com/section/us-news/feed,News,Huffington Post
https://www.huffingtonpost.com/section/world-news/feed,News,Huffington Post
https://www.huffingtonpost.com/section/business/feed,Business,Huffington Post
https://www.huffingtonpost.com/section/huffpost-home/feed,Lifestyle,Huffington Post
https://www.huffingtonpost.com/section/health/feed,Health,Huffington Post
https://www.economist.com/sections/international/rss.xml,News,The Economist
https://www.economist.com/sections/americas/rss.xml,News,The Economist
https://www.economist.com/sections/united-states/rss.xml,News,The Economist
https://www.economist.com/sections/culture/rss.xml,Entertainment,The Economist
https://www.economist.com/sections/science-technology/rss.xml,Technology,The Economist
https://www.economist.com/sections/economics/rss.xml,Business,The Economist
https://www.economist.com/sections/business-finance/rss.xml,Business,The Economist
https://www.nbcnewyork.com/news/top-stories/?rss=y,News,NBC New York
https://www.nbcnewyork.com/news/politics/?rss=y,Politics,NBC New York
https://www.nbcnewyork.com/news/sports/?rss=y,Sports,NBC New York
https://www.nbcnewyork.com/news/tech/?rss=y,Technology,NBC New York
https://www.nbcnewyork.com/entertainment/top-stories/?rss=y,Entertainment,NBC New York
https://www.npr.org/rss/rss.php?id=1001,News,NPR
https://www.npr.org/rss/rss.php?id=1003,News,NPR
https://www.npr.org/rss/rss.php?id=1004,News,NPR
https://www.npr.org/rss/rss.php?id=1014,Politics,NPR
https://www.npr.org/rss/rss.php?id=1006,Business,NPR
https://www.npr.org/rss/rss.php?id=1019,Technology,NPR
https://www.npr.org/rss/rss.php?id=1007,Science,NPR
https://www.npr.org/rss/rss.php?id=1128,Health,NPR
http://feeds.feedburner.com/breitbart,News,Breitbart
http://www.theamericanconservative.com/feed/,News,The American Conservative
https://www.washingtontimes.com/rss/headlines/sports/,Sports,Washinton Times
https://www.washingtontimes.com/rss/headlines/culture/travel/,Lifestyle,Washinton Times
https://www.washingtontimes.com/rss/headlines/culture/technology/,Technology,Washinton Times
